Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²),G-force
173,18483.23395969739,-784.819189343912,-14.355177728643834,1.4633208693826538
174,17683.40252642881,-799.8314332685816,-15.01224392466967,1.5303000942578664
175,16867.789795535675,-815.6127308931347,-15.781297624553062,1.6086949668249808
176,16035.491366721275,-832.2984288143991,-16.685697921264477,1.7008866382532595
177,15185.438013446166,-850.0533532751086,-17.754924460709546,1.8098801692874154
178,14316.358061484441,-869.0799519617251,-19.02659868661649,1.9395105694818033
179,13426.728775516842,-889.6292859675991,-20.54933400587405,2.094733333932115
180,12514.712660297313,-912.0161152195287,-22.386829251929626,2.282041717831766
181,11578.072676312433,-936.6399839848809,-24.623868765352178,2.510078365479325
182,10614.057372894826,-964.0153034176064,-27.375319432725508,2.7905524396254338
183,9619.242098519244,-994.8152743755827,-30.79997095797629,3.1396504544318335
184,8589.304372037168,-1029.9377264820755,-35.122452106492844,3.5802703472469766
185,7518.697542675185,-1070.6068293619826,-40.66910287990702,4.1456781732830805
186,6400.161738525419,-1118.5358041497652,-47.92897478778265,4.885726278061432
187,5223.96364563728,-1176.1980928881396,-57.662288738374365,5.877909147642646
188,3976.6618414633126,-1247.3018041739674,-71.10371128582783,7.2480847386164955
189,2638.9917704685085,-1337.670070994804,-90.36826682083655,9.211851867567436
190,1181.9943625422225,-1456.997407926286,-119.32733693148211,12.163846782006331
191,0,-1622.6901922071988,-165.69278428091272,16.890192077565008
